Gene.name	Karyotype.band	Strand	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Gene.type	Gene.description
MIR6839	q11.21	Plus	chr7	64679064	64679176	Non-protein coding RNA	MicroRNA 6839
MIR6840	q22.1	Plus	chr7	100356651	100356721	Non-protein coding RNA	MicroRNA 6840
MIR6841	p21.2	Minus	chr8	24953796	24953867	Non-protein coding RNA	MicroRNA 6841
MIR6842	p21.2	Plus	chr8	27433370	27433434	Non-protein coding RNA	MicroRNA 6842
MIR6843	p21.1	Minus	chr8	27610601	27610751	Non-protein coding RNA	MicroRNA 6843
MIR6844	q24.13	Minus	chr8	124508515	124508576	Non-protein coding RNA	MicroRNA 6844
MIR6845	q24.3	Minus	chr8	143837756	143837816	Non-protein coding RNA	MicroRNA 6845
MIR6846	q24.3	Minus	chr8	144057321	144057380	Non-protein coding RNA	MicroRNA 6846
MIR6847	q24.3	Plus	chr8	144079874	144079942	Non-protein coding RNA	MicroRNA 6847
MIR6848	q24.3	Minus	chr8	144317246	144317315	Non-protein coding RNA	MicroRNA 6848
MIR6849	q24.3	Minus	chr8	144400277	144400345	Non-protein coding RNA	MicroRNA 6849
MIR6850	q24.3	Minus	chr8	144791931	144791991	Non-protein coding RNA	MicroRNA 6850
MIR6851	p13.3	Minus	chr9	33467869	33467935	Non-protein coding RNA	MicroRNA 6851
MIR6852	p13.3	Minus	chr9	35710676	35710741	Non-protein coding RNA	MicroRNA 6852
MIR6853	p13.3	Plus	chr9	35732922	35732995	Non-protein coding RNA	MicroRNA 6853
MIR6854	q22.33	Minus	chr9	98229149	98229217	Non-protein coding RNA	MicroRNA 6854
MIR6855	q34.11	Plus	chr9	129869605	129869671	Non-protein coding RNA	MicroRNA 6855
MIR6856	q34.12	Plus	chr9	130626297	130626363	Non-protein coding RNA	MicroRNA 6856
MIR6857	p11.22	Minus	chrX	53405673	53405765	Non-protein coding RNA	MicroRNA 6857
MIR6858	q28	Plus	chrX	154450320	154450386	Non-protein coding RNA	MicroRNA 6858
MIR6859-1	p36.33	Minus	chr1	17369	17436	Non-protein coding RNA	MicroRNA 6859-1
MIR6859-2	p36.33	Minus	chr1	187891	187958	Non-protein coding RNA	MicroRNA 6859-2
MIR6859-3	q26.3	Plus	chr15	101973524	101973591	Non-protein coding RNA	MicroRNA 6859-3
MIR6859-4	p13.3	Minus	chr16	17052	17119	Non-protein coding RNA	MicroRNA 6859-4
MIR6860	q13.2	Plus	chr11	67045643	67045708	Non-protein coding RNA	MicroRNA 6860
MIR6861	q24.13	Minus	chr12	112163258	112163321	Non-protein coding RNA	MicroRNA 6861
MIR6862-1	p12.1	Minus	chr16	28390982	28391051	Non-protein coding RNA	MicroRNA 6862-1
MIR6862-2	p11.2	Plus	chr16	28724252	28724321	Non-protein coding RNA	MicroRNA 6862-2
MIR6863	q13	Plus	chr16	56904264	56904353	Non-protein coding RNA	MicroRNA 6863
MIR6864	p13.2	Minus	chr17	4969702	4969771	Non-protein coding RNA	MicroRNA 6864
MIR6865	p13.2	Minus	chr17	4970086	4970150	Non-protein coding RNA	MicroRNA 6865
MIR6866	q21.1	Plus	chr17	40161933	40162001	Non-protein coding RNA	MicroRNA 6866
MIR6867	q21.1	Plus	chr17	40193597	40193663	Non-protein coding RNA	MicroRNA 6867
MIR6868	q25.1	Minus	chr17	76098019	76098076	Non-protein coding RNA	MicroRNA 6868
MIR6869	p13	Minus	chr20	1392900	1392961	Non-protein coding RNA	MicroRNA 6869
MIR6870	p12.2	Minus	chr20	10649636	10649695	Non-protein coding RNA	MicroRNA 6870
MIR6871	q12	Plus	chr20	41169023	41169078	Non-protein coding RNA	MicroRNA 6871
MIR6872	p21.31	Plus	chr3	50273236	50273297	Non-protein coding RNA	MicroRNA 6872
MIR6873	p21.32	Minus	chr6	33287227	33287289	Non-protein coding RNA	MicroRNA 6873
MIR6874	p22.1	Minus	chr7	5711840	5711910	Non-protein coding RNA	MicroRNA 6874
MIR6875	q22.1	Plus	chr7	100868036	100868107	Non-protein coding RNA	MicroRNA 6875
MIR6876	p21.2	Plus	chr8	25345402	25345474	Non-protein coding RNA	MicroRNA 6876
MIR6877	q34.13	Plus	chr9	133051996	133052059	Non-protein coding RNA	MicroRNA 6877
MIR6878	q21.2	Plus	chr1	150492345	150492410	Non-protein coding RNA	MicroRNA 6878
MIR6879	q13.1	Plus	chr11	65018505	65018570	Non-protein coding RNA	MicroRNA 6879
MIR6880	q24.31	Minus	chr12	124337181	124337242	Non-protein coding RNA	MicroRNA 6880
MIR6881	q24.1	Minus	chr15	74411357	74411432	Non-protein coding RNA	MicroRNA 6881
MIR6882	q24.1	Minus	chr15	74840642	74840707	Non-protein coding RNA	MicroRNA 6882
MIR6883	p13.1	Minus	chr17	8144994	8145071	Non-protein coding RNA	MicroRNA 6883
MIR6884	q21.1	Minus	chr17	40026332	40026409	Non-protein coding RNA	MicroRNA 6884
MIR6885	p13.3	Minus	chr19	6389638	6389703	Non-protein coding RNA	MicroRNA 6885
MIR6886	p13.2	Plus	chr19	11113474	11113534	Non-protein coding RNA	MicroRNA 6886
MIR6887	q13.12	Plus	chr19	35122700	35122764	Non-protein coding RNA	MicroRNA 6887
MIR6888	q24.2	Plus	chr2	159186835	159186901	Non-protein coding RNA	MicroRNA 6888
MIR6889	q13.2	Minus	chr22	41252992	41253050	Non-protein coding RNA	MicroRNA 6889
MIR6890	p21.31	Minus	chr3	49099854	49099914	Non-protein coding RNA	MicroRNA 6890
MIR6891	p21.33	Minus	chr6	31355224	31355316	Non-protein coding RNA	MicroRNA 6891
MIR6892	q34	Plus	chr7	143382686	143382800	Non-protein coding RNA	MicroRNA 6892
MIR6893	q24.3	Minus	chr8	144435551	144435619	Non-protein coding RNA	MicroRNA 6893
MIR6894	p11.22	Minus	chrX	53198889	53198945	Non-protein coding RNA	MicroRNA 6894
MIR6895	p11.22	Minus	chrX	53195411	53195488	Non-protein coding RNA	MicroRNA 6895
MIR7-1	q21.32	Minus	chr9	83969748	83969857	Non-protein coding RNA	MicroRNA 7-1
MIR7-2	q26.1	Plus	chr15	88611825	88611934	Non-protein coding RNA	MicroRNA 7-2
MIR7-3	p13.3	Plus	chr19	4770670	4770779	Non-protein coding RNA	MicroRNA 7-3
MIR7-3HG	p13.3	Plus	chr19	4769140	4772533	Non-protein coding RNA	MIR7-3 Host Gene
MIR708	q14.1	Minus	chr11	79402022	79402109	Non-protein coding RNA	MicroRNA 708
MIR7106	q24.13	Minus	chr12	113159113	113159177	Non-protein coding RNA	MicroRNA 7106
MIR7107	q24.31	Minus	chr12	121444273	121444352	Non-protein coding RNA	MicroRNA 7107
MIR7108	p13.3	Minus	chr19	2434914	2435000	Non-protein coding RNA	MicroRNA 7108
MIR7109	q12.2	Minus	chr22	31621467	31621531	Non-protein coding RNA	MicroRNA 7109
MIR711	p21.31	Minus	chr3	48578902	48578977	Non-protein coding RNA	MicroRNA 711
MIR7110	q21.1	Plus	chr3	123161794	123161879	Non-protein coding RNA	MicroRNA 7110
MIR7111	p21.31	Plus	chr6	35470508	35470579	Non-protein coding RNA	MicroRNA 7111
MIR7112	q24.3	Minus	chr8	144262673	144262737	Non-protein coding RNA	MicroRNA 7112
MIR7113	q13.2	Plus	chr11	68032864	68032922	Non-protein coding RNA	MicroRNA 7113
MIR7114	q34.3	Minus	chr9	137450026	137450086	Non-protein coding RNA	MicroRNA 7114
MIR7150	q33.3	Minus	chr9	123485529	123485622	Non-protein coding RNA	MicroRNA 7150
MIR7151	q21.3	Minus	chr10	67403351	67403410	Non-protein coding RNA	MicroRNA 7151
MIR7152	q22.1	Plus	chr10	71790747	71790800	Non-protein coding RNA	MicroRNA 7152
MIR7153	p11.21	Minus	chr18	11654885	11654941	Non-protein coding RNA	MicroRNA 7153
MIR7154	p11.2	Minus	chr11	45691704	45691776	Non-protein coding RNA	MicroRNA 7154
MIR7155	q13.1	Minus	chr11	64341849	64341904	Non-protein coding RNA	MicroRNA 7155
MIR7156	p31.1	Plus	chr1	77060143	77060202	Non-protein coding RNA	MicroRNA 7156
MIR7157	q22.1	Minus	chr2	140586626	140586685	Non-protein coding RNA	MicroRNA 7157
MIR7158	p25.2	Plus	chr2	5974662	5974732	Non-protein coding RNA	MicroRNA 7158
MIR7159	p21.31	Plus	chr6	33899135	33899200	Non-protein coding RNA	MicroRNA 7159
MIR7160	p23.3	Plus	chr8	2076589	2076640	Non-protein coding RNA	MicroRNA 7160
MIR7161	q25.3	Plus	chr6	158609707	158609790	Non-protein coding RNA	MicroRNA 7161
MIR7162	p11.23	Minus	chr10	30368597	30368665	Non-protein coding RNA	MicroRNA 7162
MIR718	q28	Minus	chrX	154019920	154019989	Non-protein coding RNA	MicroRNA 718
MIR744	p12	Plus	chr17	12081899	12081996	Non-protein coding RNA	MicroRNA 744
MIR7515	p25.2	Plus	chr2	6650373	6650439	Non-protein coding RNA	MicroRNA 7515
MIR7515HG	p25.2	Minus	chr2	6615389	6650535	Non-protein coding RNA	MIR7515 Host Gene
MIR758	q32.31	Plus	chr14	101026020	101026107	Non-protein coding RNA	MicroRNA 758
MIR759	q14.3	Plus	chr13	52810050	52810140	Non-protein coding RNA	MicroRNA 759
MIR760	p22.1	Plus	chr1	93846832	93846911	Non-protein coding RNA	MicroRNA 760
MIR761	p32.3	Minus	chr1	51836344	51836402	Non-protein coding RNA	MicroRNA 761
MIR762	p11.2	Plus	chr16	30893903	30893985	Non-protein coding RNA	MicroRNA 762
MIR762HG	p11.2	Plus	chr16	30875222	30895220	Non-protein coding RNA	MIR762 Host Gene
MIR764	q23	Plus	chrX	114639435	114639519	Non-protein coding RNA	MicroRNA 764
MIR7641-1	q22.3	Plus	chr11	104252591	104252651	Non-protein coding RNA	MicroRNA 7641-1
MIR7641-2	q24.3	Plus	chr14	75604209	75604261	Non-protein coding RNA	MicroRNA 7641-2
MIR765	q23.1	Minus	chr1	156936131	156936244	Non-protein coding RNA	MicroRNA 765
MIR766	q24	Minus	chrX	119646738	119646848	Non-protein coding RNA	MicroRNA 766
MIR767	q28	Minus	chrX	152393421	152393529	Non-protein coding RNA	MicroRNA 767
MIR769	q13.32	Plus	chr19	46018932	46019049	Non-protein coding RNA	MicroRNA 769
MIR770	q32.2	Plus	chr14	100852390	100852487	Non-protein coding RNA	MicroRNA 770
MIR7702	q31.3	Minus	chr9	111271156	111271214	Non-protein coding RNA	MicroRNA 7702
MIR7703	q12	Minus	chr14	24143488	24143564	Non-protein coding RNA	MicroRNA 7703
MIR7704	q31.1	Plus	chr2	176188843	176188901	Non-protein coding RNA	MicroRNA 7704
MIR7705	q22.3	Minus	chr8	100702968	100703024	Non-protein coding RNA	MicroRNA 7705
MIR7706	q25.3	Plus	chr15	85380596	85380662	Non-protein coding RNA	MicroRNA 7706
MIR7843	q24.2	Plus	chr14	72516820	72516898	Non-protein coding RNA	MicroRNA 7843
MIR7844	q22	Minus	chr12	94571231	94571352	Non-protein coding RNA	MicroRNA 7844
MIR7845	q33.3	Plus	chr2	207166400	207166498	Non-protein coding RNA	MicroRNA 7845
MIR7846	p36.22	Plus	chr1	12166943	12167038	Non-protein coding RNA	MicroRNA 7846
MIR7847	p15.5	Plus	chr11	1880045	1880147	Non-protein coding RNA	MicroRNA 7847
MIR7848	q24.22	Minus	chr8	133046481	133046581	Non-protein coding RNA	MicroRNA 7848
MIR7849	q31.22	Plus	chr4	146408583	146408688	Non-protein coding RNA	MicroRNA 7849
MIR7850	p13.3	Plus	chr19	2630715	2630793	Non-protein coding RNA	MicroRNA 7850
MIR7851	q12	Minus	chr12	42323700	42323859	Non-protein coding RNA	MicroRNA 7851
MIR7852	p13.3	Plus	chr1	107897223	107897304	Non-protein coding RNA	MicroRNA 7852
MIR7853	p25.1	Minus	chr6	6169304	6169435	Non-protein coding RNA	MicroRNA 7853
MIR7854	q23.2	Plus	chr16	81533902	81533966	Non-protein coding RNA	MicroRNA 7854
MIR7855	q23.3	Minus	chr14	64785626	64785686	Non-protein coding RNA	MicroRNA 7855
MIR7856	p22.3	Minus	chr1	86357632	86357687	Non-protein coding RNA	MicroRNA 7856
MIR7973-1	q21.2	Plus	chr15	51314034	51314109	Non-protein coding RNA	MicroRNA 7973-1
MIR7973-2	q21.2	Minus	chr15	51314032	51314107	Non-protein coding RNA	MicroRNA 7973-2
MIR7974	p13.2	Minus	chr19	11495544	11495622	Non-protein coding RNA	MicroRNA 7974
MIR7975	q13.42	Minus	chr19	55123225	55123292	Non-protein coding RNA	MicroRNA 7975
MIR7976	q21.3	Minus	chr3	127587111	127587176	Non-protein coding RNA	MicroRNA 7976
MIR7977	q26.32	Plus	chr3	176515103	176515151	Non-protein coding RNA	MicroRNA 7977
MIR7978	p15.2	Minus	chr4	21464700	21464758	Non-protein coding RNA	MicroRNA 7978
MIR802	q22.12	Plus	chr21	35720715	35720808	Non-protein coding RNA	MicroRNA 802
MIR8052	q24.3	Plus	chr11	130666735	130666803	Non-protein coding RNA	MicroRNA 8052
MIR8053	p12	Plus	chr4	47652669	47652743	Non-protein coding RNA	MicroRNA 8053
MIR8054	p14.3	Minus	chr11	23419105	23419190	Non-protein coding RNA	MicroRNA 8054
MIR8055	p23.1	Minus	chr8	6622124	6622220	Non-protein coding RNA	MicroRNA 8055
MIR8056	q35.2	Plus	chr5	173347455	173347536	Non-protein coding RNA	MicroRNA 8056
MIR8057	q11.2	Minus	chr18	26591467	26591535	Non-protein coding RNA	MicroRNA 8057
MIR8058	q23.3	Plus	chr16	82688931	82689019	Non-protein coding RNA	MicroRNA 8058
MIR8059	q21.33	Plus	chr17	50768650	50768730	Non-protein coding RNA	MicroRNA 8059
MIR8060	q11.2	Plus	chr3	96359964	96360039	Non-protein coding RNA	MicroRNA 8060
MIR8061	q13.42	Plus	chr19	54645309	54645383	Non-protein coding RNA	MicroRNA 8061
MIR8062	p12.3	Plus	chr20	7371608	7371692	Non-protein coding RNA	MicroRNA 8062
MIR8063	q14	Minus	chr15	36972821	36972901	Non-protein coding RNA	MicroRNA 8063
MIR8064	p21.1	Minus	chr3	52846463	52846552	Non-protein coding RNA	MicroRNA 8064
MIR8065	p13.3	Plus	chr16	5632467	5632566	Non-protein coding RNA	MicroRNA 8065
MIR8066	q24	Minus	chr4	101240795	101240872	Non-protein coding RNA	MicroRNA 8066
MIR8067	q22.2	Minus	chr15	62304658	62304734	Non-protein coding RNA	MicroRNA 8067
MIR8068	p14.1	Minus	chr11	28477481	28477548	Non-protein coding RNA	MicroRNA 8068
MIR8069-1	p12	Plus	chr21	6859171	6859256	Non-protein coding RNA	MicroRNA 8069-1
MIR8069-2	q11.2	Plus	chr21	13724189	13724274	Non-protein coding RNA	MicroRNA 8069-2
MIR8070	p15.3	Minus	chr11	11783135	11783222	Non-protein coding RNA	MicroRNA 8070
MIR8071-1	q32.33	Plus	chr14	105621116	105621180	Non-protein coding RNA	MicroRNA 8071-1
MIR8071-2	q32.33	Plus	chr14	105640168	105640232	Non-protein coding RNA	MicroRNA 8071-2
MIR8072	q24.31	Minus	chr12	123364764	123364843	Non-protein coding RNA	MicroRNA 8072
MIR8073	q34	Plus	chr13	110340958	110341029	Non-protein coding RNA	MicroRNA 8073
MIR8074	q13.41	Minus	chr19	51206929	51207009	Non-protein coding RNA	MicroRNA 8074
MIR8075	q34	Plus	chr13	113262920	113262999	Non-protein coding RNA	MicroRNA 8075
MIR8076	q13.2	Minus	chr3	113432118	113432200	Non-protein coding RNA	MicroRNA 8076
MIR8077	q13.2	Plus	chr19	42351131	42351205	Non-protein coding RNA	MicroRNA 8077
MIR8078	p11.32	Minus	chr18	112256	112339	Non-protein coding RNA	MicroRNA 8078
MIR8079	q14.11	Minus	chr13	44196129	44196200	Non-protein coding RNA	MicroRNA 8079
MIR8080	p12	Minus	chr2	79866495	79866583	Non-protein coding RNA	MicroRNA 8080
MIR8081	q31.2	Plus	chr9	106600928	106601022	Non-protein coding RNA	MicroRNA 8081
MIR8082	q25	Plus	chr4	113152282	113152362	Non-protein coding RNA	MicroRNA 8082
MIR8083	q21.3	Minus	chr1	153689705	153689793	Non-protein coding RNA	MicroRNA 8083
MIR8084	q22.1	Plus	chr8	93029751	93029839	Non-protein coding RNA	MicroRNA 8084
MIR8085	q13.32	Plus	chr19	44758657	44758721	Non-protein coding RNA	MicroRNA 8085
MIR8086	p12.1	Minus	chr10	28289258	28289350	Non-protein coding RNA	MicroRNA 8086
MIR8087	p14.1	Minus	chr11	27514970	27515047	Non-protein coding RNA	MicroRNA 8087
MIR8088	p11.22	Minus	chrX	52336557	52336642	Non-protein coding RNA	MicroRNA 8088
MIR8089	q35.3	Minus	chr5	181043403	181043484	Non-protein coding RNA	MicroRNA 8089
MIR8485	p16.3	Minus	chr2	50696172	50696262	Non-protein coding RNA	MicroRNA 8485
MIR873	p21.1	Minus	chr9	28888879	28888955	Non-protein coding RNA	MicroRNA 873
MIR874	q31.2	Minus	chr5	137647572	137647649	Non-protein coding RNA	MicroRNA 874
MIR875	q22.2	Minus	chr8	99536786	99536861	Non-protein coding RNA	MicroRNA 875
MIR876	p21.1	Minus	chr9	28863626	28863706	Non-protein coding RNA	MicroRNA 876
MIR877	p21.33	Plus	chr6	30584332	30584417	Non-protein coding RNA	MicroRNA 877
MIR885	p25.3	Minus	chr3	10394489	10394562	Non-protein coding RNA	MicroRNA 885
MIR887	p15.1	Plus	chr5	15935182	15935260	Non-protein coding RNA	MicroRNA 887
MIR888	q27.3	Minus	chrX	145994784	145994860	Non-protein coding RNA	MicroRNA 888
MIR889	q32.31	Plus	chr14	101047901	101047979	Non-protein coding RNA	MicroRNA 889
MIR890	q27.3	Minus	chrX	145994275	145994351	Non-protein coding RNA	MicroRNA 890
MIR891A	q27.3	Minus	chrX	146027794	146027872	Non-protein coding RNA	MicroRNA 891a
MIR891B	q27.3	Minus	chrX	146001053	146001131	Non-protein coding RNA	MicroRNA 891b
MIR892A	q27.3	Minus	chrX	145996669	145996743	Non-protein coding RNA	MicroRNA 892a
MIR892B	q27.3	Minus	chrX	145997198	145997274	Non-protein coding RNA	MicroRNA 892b
MIR892C	q27.3	Minus	chrX	145992750	145992826	Non-protein coding RNA	MicroRNA 892c
MIR9-1	q22	Minus	chr1	156420341	156420429	Non-protein coding RNA	MicroRNA 9-1
MIR9-2	q14.3	Minus	chr5	88666853	88666939	Non-protein coding RNA	MicroRNA 9-2
MIR9-3	q26.1	Plus	chr15	89368017	89368106	Non-protein coding RNA	MicroRNA 9-3
MIR9-3HG	q26.1	Plus	chr15	89361579	89398487	Non-protein coding RNA	MIR9-3 Host Gene
MIR920	p12.1	Plus	chr12	24212421	24212495	Non-protein coding RNA	MicroRNA 920
MIR921	q24.1	Minus	chr1	166154743	166154798	Non-protein coding RNA	MicroRNA 921
MIR922	q29	Minus	chr3	197674496	197674576	Non-protein coding RNA	MicroRNA 922
MIR924	q12.3	Minus	chr18	39622123	39622175	Non-protein coding RNA	MicroRNA 924
MIR92A1	q31.3	Plus	chr13	91351314	91351391	Non-protein coding RNA	MicroRNA 92a-1
MIR92A2	q26.2	Minus	chrX	134169538	134169612	Non-protein coding RNA	MicroRNA 92a-2
MIR92B	q22	Plus	chr1	155195177	155195272	Non-protein coding RNA	MicroRNA 92b
MIR93	q22.1	Minus	chr7	100093768	100093847	Non-protein coding RNA	MicroRNA 93
MIR933	q31.1	Minus	chr2	175167633	175167709	Non-protein coding RNA	MicroRNA 933
MIR934	q26.3	Plus	chrX	136550878	136550960	Non-protein coding RNA	MicroRNA 934
MIR935	q13.42	Plus	chr19	53982307	53982397	Non-protein coding RNA	MicroRNA 935
MIR936	q25.1	Minus	chr10	104048089	104048186	Non-protein coding RNA	MicroRNA 936
MIR937	q24.3	Minus	chr8	143812957	143813042	Non-protein coding RNA	MicroRNA 937
MIR938	p11.23	Minus	chr10	29602264	29602346	Non-protein coding RNA	MicroRNA 938
MIR939	q24.3	Minus	chr8	144394149	144394230	Non-protein coding RNA	MicroRNA 939
MIR940	p13.3	Plus	chr16	2271747	2271840	Non-protein coding RNA	MicroRNA 940
MIR941-1	q13.33	Plus	chr20	63919449	63919520	Non-protein coding RNA	MicroRNA 941-1
MIR941-2	q13.33	Plus	chr20	63919505	63919576	Non-protein coding RNA	MicroRNA 941-2
MIR941-3	q13.33	Plus	chr20	63919561	63919632	Non-protein coding RNA	MicroRNA 941-3
MIR941-4	q13.33	Plus	chr20	63919756	63919827	Non-protein coding RNA	MicroRNA 941-4
MIR941-5	q13.33	Plus	chr20	63919868	63919939	Non-protein coding RNA	MicroRNA 941-5
MIR942	p13.1	Plus	chr1	117094643	117094728	Non-protein coding RNA	MicroRNA 942
MIR943	p16.3	Minus	chr4	1986384	1986477	Non-protein coding RNA	MicroRNA 943
MIR944	q28	Plus	chr3	189829922	189830009	Non-protein coding RNA	MicroRNA 944
MIR95	p16.1	Minus	chr4	8005301	8005381	Non-protein coding RNA	MicroRNA 95
MIR9500	q35	Plus	chr2	218823090	218823154	Non-protein coding RNA	MicroRNA 9500
MIR96	q32.2	Minus	chr7	129774692	129774769	Non-protein coding RNA	MicroRNA 96
MIR98	p11.22	Minus	chrX	53556223	53556341	Non-protein coding RNA	MicroRNA 98
MIR99A	q21.1	Plus	chr21	16539089	16539169	Non-protein coding RNA	MicroRNA 99a
MIR99AHG	q21.1	Plus	chr21	15928296	16645065	Non-protein coding RNA	Mir-99a-let-7c Cluster Host Gene
MIR99B	q13.41	Plus	chr19	51692612	51692681	Non-protein coding RNA	MicroRNA 99b
MIRLET7A1	q22.32	Plus	chr9	94175957	94176036	Non-protein coding RNA	MicroRNA Let-7a-1
MIRLET7A2	q24.1	Minus	chr11	122146522	122146593	Non-protein coding RNA	MicroRNA Let-7a-2
MIRLET7A3	q13.31	Plus	chr22	46112749	46112822	Non-protein coding RNA	MicroRNA Let-7a-3
MIRLET7B	q13.31	Plus	chr22	46113686	46113768	Non-protein coding RNA	MicroRNA Let-7b
MIRLET7BHG	q13.31	Plus	chr22	46053869	46113928	Non-protein coding RNA	MIRLET7B Host Gene
MIRLET7C	q21.1	Plus	chr21	16539828	16539911	Non-protein coding RNA	MicroRNA Let-7c
MIRLET7D	q22.32	Plus	chr9	94178834	94178920	Non-protein coding RNA	MicroRNA Let-7d
MIRLET7DHG	q22.32	Minus	chr9	94176602	94204568	Non-protein coding RNA	MIRLET7D Host Gene
MIRLET7E	q13.41	Plus	chr19	51692786	51692864	Non-protein coding RNA	MicroRNA Let-7e
MIRLET7F1	q22.32	Plus	chr9	94176347	94176433	Non-protein coding RNA	MicroRNA Let-7f-1
MIRLET7F2	p11.22	Minus	chrX	53557192	53557274	Non-protein coding RNA	MicroRNA Let-7f-2
MIRLET7G	p21.2	Minus	chr3	52268278	52268361	Non-protein coding RNA	MicroRNA Let-7g
MIRLET7I	q14.1	Plus	chr12	62603686	62603769	Non-protein coding RNA	MicroRNA Let-7i
MIS12	p13.2	Plus	chr17	5486285	5490814	Protein coding	MIS12, Kinetochore Complex Component
MIS18A	q22.11	Minus	chr21	32268219	32279069	Protein coding	MIS18 Kinetochore Protein A
MIS18A-AS1	q22.11	Plus	chr21	32277863	32280988	Non-protein coding RNA	MIS18A Antisense RNA 1
MIS18BP1	q21.2	Minus	chr14	45203190	45253540	Protein coding	MIS18 Binding Protein 1
MISP	p13.3	Plus	chr19	751126	764318	Protein coding	Mitotic Spindle Positioning
MISP3	p13.12	Plus	chr19	14072536	14075062	Protein coding	MISP Family Member 3
MITD1	q11.2	Minus	chr2	99161427	99181058	Protein coding	Microtubule Interacting And Trafficking Domain Containing 1
MITF	p13	Plus	chr3	69739435	69968337	Protein coding	Melanogenesis Associated Transcription Factor
MIXL1	q42.12	Plus	chr1	226223618	226227054	Protein coding	Mix Paired-like Homeobox
MKI67	q26.2	Minus	chr10	128096659	128126385	Protein coding	Marker Of Proliferation Ki-67
MKI67P1	p11.3	Minus	chrX	46560928	46562749	Pseudogene	Marker Of Proliferation Ki-67 Pseudogene 1
MKKS	p12.2	Minus	chr20	10401009	10434222	Protein coding	McKusick-Kaufman Syndrome
MKL1	q13.2	Minus	chr22	40410281	40636702	Protein coding	Megakaryoblastic Leukemia (translocation) 1
MKL2	p13.12	Plus	chr16	14071321	14266773	Protein coding	MKL1/myocardin Like 2
MKLN1	q32.3	Plus	chr7	131110096	131496636	Protein coding	Muskelin 1
MKLN1-AS	q32.3	Minus	chr7	131309744	131328222	Non-protein coding RNA	MKLN1 Antisense RNA
MKNK1	p33	Minus	chr1	46557408	46616843	Protein coding	MAP Kinase Interacting Serine/threonine Kinase 1
MKNK1-AS1	p33	Plus	chr1	46538696	46570255	Non-protein coding RNA	MKNK1 Antisense RNA 1
MKNK2	p13.3	Minus	chr19	2037465	2051244	Protein coding	MAP Kinase Interacting Serine/threonine Kinase 2
MKNK2P1	p11.21	Minus	chr10	36944111	36944738	Pseudogene	MAP Kinase Interacting Serine/threonine Kinase 2 Pseudogene 1
MKRN1	q34	Minus	chr7	140453040	140479569	Protein coding	Makorin Ring Finger Protein 1
MKRN2	p25.2	Plus	chr3	12557014	12583713	Protein coding	Makorin Ring Finger Protein 2
MKRN2OS	p25.2	Minus	chr3	12514934	12561059	Protein coding	MKRN2 Opposite Strand
MKRN3	q11.2	Plus	chr15	23565678	23630075	Protein coding	Makorin Ring Finger Protein 3
MKRN3-AS1	q11.2	Minus	chr15	23567264	23569657	Non-protein coding RNA	MKRN3 Antisense RNA 1
MKRN4P	p11.4	Plus	chrX	40834485	40836005	Pseudogene	Makorin Ring Finger Protein 4, Pseudogene
